PK (7100)	GUID (5800)	DayOfWeek (7101)	Starttime (7102)	Length (7115)	Course (7106)	Subject (7103)	Teacher (7104)	Group (7105)	Room (7107)	Period (7108)	Week (7109)	ActualWeeks (7167)
165	{33EF1C43-12BE-4719-A18B-29DB6E2D56E6}	Måndag	12:00	300		RYTMUS			Rörelsehallen			34-43, 45-51, 3-8, 10-14, 16-24
155	{481535BB-8FD7-49FF-BED3-98D67331CA2C}	Onsdag	13:30	210		RYTMUS			Rörelsehallen			34-43, 45-51, 3-8, 10-14, 16-24
167	{CA05BCD6-1B6B-4849-8559-4842D6C07433}	Fredag	8:30	390		RYTMUS			Rörelsehallen			34-43, 45-50, 2-8, 10-13, 16-17, 21-24
274	{3B1E661D-DAC5-43D5-9586-A6C0C040C523}	Måndag	16:30	210		MUSSKOL			014			34-43, 45-51, 3-8, 10-14, 16-24
277	{EC7889E7-0532-40BE-939F-85EE8F18CF51}	Måndag	16:30	210		MUSSKOL			114			34-43, 45-51, 3-8, 10-14, 16-24
271	{F59B319F-9A44-4EA5-BFC5-873E2535B060}	Måndag	16:30	210		MUSSKOL			018			34-43, 45-51, 3-8, 10-14, 16-24
270	{D5235156-96A1-4380-8DE4-3BC242603FAA}	Måndag	17:00	180		MUSSKOL			019			34-43, 45-51, 3-8, 10-14, 16-24
267	{EE2FF204-6B7D-4D3F-B713-92D0169C549C}	Tisdag	16:00	240		MUSSKOL			105			34-43, 45-51, 3-8, 10-14, 16-24
275	{B14D954A-717F-4DE4-B34D-78C4F3BD3FA5}	Tisdag	16:00	240		MUSSKOL			019			34-43, 45-51, 3-8, 10-14, 16-24
272	{A10AD96F-BEA6-489E-8A6B-493B43DA1A88}	Onsdag	16:00	240		MUSSKOL			106			34-43, 45-51, 3-8, 10-14, 16-24
282	{C5FA80F6-68D4-4D30-B192-2D483523E92C}	Onsdag	16:00	240		MUSSKOL			105			34-43, 45-51, 3-8, 10-14, 16-24
283	{84A947E0-B487-4177-8B3E-2D9795C41614}	Tisdag	16:30	210		MUSSKOL			018			34-43, 45-51, 3-8, 10-14, 16-24
278	{E9A54EE6-C8E4-444D-857C-5B3E28DB3FB3}	Tisdag	17:00	180		MUSSKOL			014			34-43, 45-51, 3-8, 10-14, 16-24
273	{85F96F71-4CD1-4783-95CC-EE82F6738F78}	Onsdag	17:00	180		MUSSKOL			108			34-43, 45-51, 2-8, 10-14, 16-24
268	{DB5E0FD7-7EC5-41A5-B21F-F58AFB378185}	Onsdag	17:00	180		MUSSKOL			018			34-43, 45-51, 2-8, 10-14, 16-24
279	{B782452A-4C9C-4BCA-A482-5A6E5294F8FF}	Torsdag	16:00	240		MUSSKOL			108			34-43, 45-51, 3-8, 10-14, 16-19, 21-24
276	{CD94E609-BB9E-4D5E-8B4A-FDCE0A980891}	Torsdag	16:00	240		MUSSKOL			105			34-43, 45-51, 3-8, 10-14, 16-19, 21-24
285	{000A6848-7D72-43E5-915B-AE2DCFF45291}	Torsdag	17:00	180		MUSSKOL			224			34-43, 45-51, 2-8, 10-14, 16-19, 21-24
951	{9E3B2791-3044-4A66-92E0-0E5C7725E2EC}	Måndag	10:10	270		SAL		Salspärr Åk 2	028			34-43, 45-51, 3-8, 10-14, 16-24
949	{FEA0D5CE-A8D3-48B7-A29F-01711EFDF5D8}	Torsdag	8:30	200		SAL		Salspärr Åk 1	028			34-43, 45-51, 3-8, 10-14, 16-19, 21-24
51	{53268898-C7A4-4E2B-A107-D80F3A9530F6}	Måndag	12:40	90	NATU1B00X	NAK	AndeMi	NAK01:25B	224			35-43, 45, 47-51, 3-8, 10-14, 16-20, 22-24
29	{4FB5ECFB-89E5-4A8B-9C60-52CB23451DB9}	Måndag	8:30	75	MATMAT03b	MAT	AmanPe	MAT03:IV	202			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20-24
56	{F28524F9-BD74-42A2-8AF5-ACE86EC6A053}	Tisdag	10:10	90	SVESVE03	SVE	EdoAnn	SVE03:23B	224			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20-24
340	{765E4E13-ED04-4094-BC8C-D070601B5020}	Tisdag	8:30	75	MATMAT02b	MAT	AmanPe	MAT02:IV_3	037			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20, 22-24
391	{31167DFF-3B9F-457E-87C1-7523BF46BCCC}	Tisdag	14:20	30		Mentorstid	SiegAn,LindAn,StarMo	KLASS:25D	208			35-43, 45, 47-51, 3-8, 10-14, 16-24
178	{86E5782F-E740-4164-93AA-164B2EAEBD2E}	Måndag	8:30	90	SVEN1000X	SVE	GranEl	SVE01:25B	210			35-43, 45, 47-51, 3-8, 10-14, 16-20, 22-24
368	{CB246111-C02D-4DD3-B2B2-8548B1E2D14A}	Onsdag	13:20	90	ENGE1000X	ENG	RehnLi	ENG01:25A	215			35-41, 43, 45-49, 51, 3-8, 10-14, 16-22, 24
602	{CF77976F-A953-4A5A-A2C8-3F2C0329C2B9}	Onsdag	8:30	90	SVEN1000X	SVE	SiegAn	SVE01:25A	208			35-41, 43, 45-49, 51, 3-8, 10-14, 16-22, 24
347	{F58CE1FD-F457-4DF4-8DF9-005E13C66D08}	Onsdag	8:30	90	SVEN1000X	SVE	GranEl	SVE01:25B	210			35-41, 43, 45-49, 51, 3-8, 10-14, 16-22, 24
113	{34558E28-2EA9-4A7A-AEFB-337C3516CAF3}	7	0:00	60		MÖTE	OlliKa,GrafSo,LindAn,LindCh,BergSo,DrouJo,NorrJa	Förstelärarmöte	223			34-43, 45-51, 2-8, 10-14, 16-24
163	{629F1654-3DD8-45A9-B5D0-99E2C3E4ACA1}	Onsdag	10:10	130		SAL		Salspärr Åk 1	031			34-43, 45-51, 3-8, 10-14, 16-24
164	{6DC4F1A0-8076-4733-AE8B-F4F5BC7AC465}	Onsdag	13:40	75	IDRIDR01	IDR	KonTii	IDR01:24C	Rörelsehallen			35-41, 43, 45-49, 51, 3-8, 10-13, 16-24
18	{C41E918B-40DF-4C4F-8BFE-B929FC31BA62}	Onsdag	8:30	90	SVESVE02	SVE	HäggCa	SVE02:24C	231			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
210	{59D08DA3-969F-4598-8715-CD16D1F9B061}	Fredag	15:00	75	MATMAT02b	MAT	AmanPe	MAT02:IV_3	037			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
324	{9BD0F2CF-AC3E-4A02-A3E0-40B374BCD868}	Fredag	12:40	90	ENGE1000X	ENG	AhmeLa	ENG01:25B	216			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
686	{555CB4CC-380E-4418-824C-5C33F35435CF}	Fredag	10:10	90	HISHIS02b	HIS	TägtAm	HIS02:23D	203			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
5	{8118E209-0125-4DD9-AF7A-8F33C76D1DBF}	Onsdag	8:30	90	SVESVE02	SVE	LjunLi	SVE02:24D	229			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
131	{A3FA5A77-712B-4966-9B16-BCBE70DC6F98}	Onsdag	8:30	75	MATMAT02b	MAT	AmanPe	MAT02:IV_1	037			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
295	{B066122C-9A1F-4A0B-9EB1-F0FCB8411CF5}	Onsdag	13:20	90	SVESVE03	SVE	LjunLi	SVE03:23D	229			35-41, 43, 45-49, 51, 3-8, 10-14, 16-18, 20-24
77	{C5683C0E-D1CE-4638-8862-7EC231BBD8D8}	Fredag	8:30	90	SAMH1B00X	SAM	NorrJa	SAM01:25A	218			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
249	{FD03389A-7481-4928-A114-101878AF49AB}	Fredag	10:10	90	SAMH1B00X	SAM	AhmeLa	SAM01:25B	216			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
129	{FF7C54DC-84A8-45DD-B6FF-89DA7F0C7BA0}	Måndag	14:20	90	SVEN1000X	SVE	GranEl	SVE01:25F	210			35-43, 45, 47-51, 3-8, 10-14, 16-20, 22-24
171	{2BC63249-0B46-4F40-BEF0-3C502D6C2EC7}	Onsdag	10:10	90	HISHIS01b	HIS	BjörMa	HIS01:24D	209			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
91	{A22F90D0-BB93-48C8-AA96-FDDCECD23185}	Torsdag	8:30	75	ENGENG07	ENG	KarlHe	ENG07:IV	208			35-42, 45-49, 51, 3-8, 10-14, 16-18, 21-24
30	{BBC8F875-DCF7-4E54-9A4B-E8E44A255748}	Tisdag	8:30	75	ENGENG07	ENG	KarlHe	ENG07:IV	208			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20-24
166	{D2573A62-BDF1-431E-8DEC-AA67567CCB9B}	Onsdag	10:10	90	RELREL01	REL	TägtAm	REL01:23D	203	Ht		35-41, 43, 45-49, 51
45	{8CB48EE7-B5E5-456B-BFDE-6F0950DA2CAE}	Onsdag	10:10	90	KOSKOS0	KOS	AateEl	KOS0:23D	202	Vt		3-8, 10-14, 16-18, 20-24
930	{999433E5-D5CF-4BA6-93A8-A958FFADF307}	Tisdag	10:10	90	HISHIS02b	HIS	SiegAn	HIS02:23A	208			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20-24
195	{2DFCC042-868B-4F77-BA51-1A1D9821EDF1}	Torsdag	8:30	75	MODSPA03	MOD	RehnLi	SPA03:IV	215			35-42, 45-49, 51, 3-8, 10-14, 16, 18-19, 21-24
32	{5386A426-A8F6-454B-A9C3-299C6C61752E}	Torsdag	8:30	120	SAMSAM02	SAM	BjörMa	SAM02:IV	209			35-42, 45-49, 51, 3-8, 10-14, 16-19, 21-24
296	{907271BF-097D-474B-9DD9-B9965C80BE0D}	Torsdag	8:30	120	MEPMEI01	MEP	FredJe	MEP01:IV	204			35-42, 45-49, 51, 3-8, 10-14, 16-19, 21-24
65	{F79F4978-104A-4807-BF0A-0959611AB6AE}	Onsdag	10:10	90	SVESVE02	SVE	HäggCa	SVE02:24A	231			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
22	{0878304C-EDEC-4400-A6DF-55F375C4F45D}	Fredag	10:10	90	ENGENG06	ENG	RehnLi	ENG06:24B	215			35-36, 38-42, 45-49, 2-8, 10-12, 16-17, 21-24
147	{E9859F13-E4CB-41D8-B655-3665D9720862}	Onsdag	10:10	90	KOSKOS0	KOS	AateEl	KOS0:23E	202	Ht		35-41, 43, 45-49, 51
606	{06EFDCB3-9C09-4966-BCDE-B305A2DA47B9}	Onsdag	10:10	90	RELREL01	REL	TägtAm	REL01:23E	203	Vt		3-8, 10-14, 16-18, 20-24
27	{2158F8CE-AD15-47DE-A0CC-950F82F3C8C6}	Torsdag	15:00	120	FOTFOT01	FOT	EngsSa	FOT01:IV	204			35-42, 45-49, 51, 3-8, 10-14, 16-19, 21-24
937	{7DD748CB-551E-4D25-B188-B5379460A5D5}	Måndag	15:25	75	IDRIDR01	IDR	KonTii	IDR01:24E	Rörelsehallen			35-43, 45, 47-51, 3-8, 10-13, 16-24
116	{9D9E0E9F-3164-4F81-AD8E-98E8445632FB}	Torsdag	8:30	75	IDRIDR01	IDR	KonTii	IDR01:24F	202			35-42, 45-49, 51, 3-8, 10-14, 16, 18-19, 21-24
159	{8777E09B-3A5D-42D4-971F-B320BD8DBD28}	Torsdag	10:40	75	IDRIDR01	IDR	KonTii	IDR01:24B	202			35-42, 45-49, 51, 3-8, 10-14, 16, 18-19, 21-24
950	{B97A7243-77F2-4CAA-A528-597AEF79673E}	Onsdag	16:30	210		MUSSKOL			019			34-43, 45-51, 3-8, 10-14, 16-24
688	{DFFE34BF-C617-4021-9387-AE61E5E51B4C}	Måndag	14:50	120		MEDIA ÅK 3	EngsSa,NorrJa	MEJ01:23F,DIG01:23F	204			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20-24
138	{0006045E-F75F-4BD1-96FC-28BA51F744F3}	Torsdag	8:30	90	SAMH1B00X	SAM	AhmeLa	SAM01:25F	216			35-42, 45-49, 51, 3-8, 10-14, 16-19, 21-24
70	{EF5BACFA-455D-464C-B44F-1F903C77E6E2}	Onsdag	8:30	90	SAMSAM02	SAM	BjörMa	SAM02:24G	209			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
60	{BEABF2DB-F4A8-45E8-AE65-5DE13B250FCD}	Fredag	8:30	75	IDRIDR01	IDR	KonTii	IDR01:24G	Rörelsehallen			35-36, 38-42, 45-49, 2-8, 10-12, 16-17, 21-24
117	{4DC3F72A-F2F3-46E8-A41B-76EF7E3B0362}	Fredag	10:00	75	IDRIDR01	IDR	KonTii	IDR01:24D	Rörelsehallen			35-36, 38-42, 45-49, 2-8, 10-12, 16-17, 21-24
81	{5D42290E-E638-438F-87D7-682DCDAA466C}	Onsdag	15:00	90	NATU1B00X	NAK	EneAn	NAK01:25C	224			35-41, 43, 45-49, 51, 3-8, 10-14, 16-22, 24
74	{EC0A9279-4594-46CA-A253-3132A9BD5166}	Tisdag	12:40	90	SAMH1B00X	SAM	BjörMa	SAM01:25E	209			35-43, 45, 47-51, 3-8, 10-14, 16-24
308	{7BC560E9-6A98-49B5-B0D7-96510030E167}	Fredag	8:30	90	ENGE1000X	ENG	RehnLi	ENG01:25C	215			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
258	{28696FA8-5DAF-4F85-B86D-57B4AD4B212C}	Onsdag	13:20	90	NATU1B00X	NAK	AndeMi	NAK01:25F	224			35-41, 43, 45-49, 51, 3-8, 10-14, 16-24
110	{A5055213-8E24-4FC2-ACF9-97F2B09110B7}	Fredag	10:10	90	HISHIS01b	HIS	AateEl	HIS01:24C	202			35-36, 38-42, 45-49, 2-8, 10-12, 16-17, 21-24
48	{313B9AE7-1844-47B8-A282-0E5D9C5B0E1A}	Fredag	10:10	90	SAMH1B00X	SAM	NorrJa	SAM01:25C	218			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
162	{DC771DE6-3F81-4CCD-B9EE-D8294774D82D}	Måndag	10:15	90	SAMH1B00X	SAM	NorrJa	SAM01:25C	218			35-43, 45, 47-51, 3-8, 10-14, 16-20, 22-24
140	{6EF7CBE9-A0B2-475A-BDE4-D0D93B4DBCE7}	Torsdag	12:40	90	SAMH1B00X	SAM	AhmeLa	SAM01:25B	210			35-42, 45-49, 51, 3-8, 10-14, 16-19, 21-24
185	{7757ACF8-AB76-46E6-A87B-368ADD51A779}	Tisdag	12:40	90	NATU1B00X	NAK	EneAn	NAK01:25D	202			35-43, 45, 47-51, 3-8, 10-14, 16-24
179	{7C01BEE5-3B2D-4209-846F-4255D6E03DDB}	Fredag	12:40	90	NATU1B00X	NAK	EneAn	NAK01:25C	202			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
915	{B2A2239C-E61C-4DB4-9C72-3A0CD2641ECA}	Onsdag	8:30	90	ENGE1000X	ENG	VideRo	ENG01:25D	215			35-41, 43, 45-49, 51, 3-8, 10-14, 16-24
217	{54275E41-69DA-4FE3-9CF7-19CB461F0A62}	Onsdag	14:20	90	SAMH1B00X	SAM	BjörMa	SAM01:25D	209			35-41, 43, 45-49, 51, 3-8, 10-14, 16-24
298	{D4BF0931-3FC5-4360-9259-F5CD0F3BC74E}	Måndag	12:40	90	ENGE1000X	ENG	VideRo	ENG01:25E	215			35-43, 45, 47-51, 3-8, 10-14, 16-20, 22-24
392	{FDCB593A-C177-4ABA-BA9D-B2ED5A8E530A}	Onsdag	12:40	90	NATU1B00X	NAK	EneAn	NAK01:25E	202			35-41, 43, 45-49, 51, 3-8, 10-14, 16-24
160	{D551291E-2A4E-4800-AD94-6F93D3F59EB3}	Onsdag	14:20	90	ENGE1000X	ENG	VideRo	ENG01:25E	208			35-41, 43, 45-49, 51, 3-8, 10-14, 16-24
393	{D048DE21-CA00-4520-9B6C-B49FEAB2B613}	Torsdag	10:40	90	NATU1B00X	NAK	AndeMi	NAK01:25F	224			35-42, 45-49, 51, 3-8, 10-14, 16-19, 21-24
170	{69CC42D5-42F8-4265-B9DE-54769F41E22B}	Tisdag	12:40	90	HISHIS02b	HIS	TägtAm	HIS02:23E	203			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20-24
55	{E1C300D3-5E08-4638-9AEF-8F4200228DD8}	Fredag	10:10	90	HISHIS01b	HIS	VideRo	HIS01:24A	229			35-36, 38-42, 45-49, 2-8, 10-12, 16-17, 21-24
952	{6ED488F6-6DCF-4BAC-A68B-5A1F73729170}	Torsdag	13:20	90	HISHIS01b	HIS	VideRo	HIS01:24A	037			35-42, 45-49, 51, 3-8, 10-14, 16, 19, 21-24
175	{070EDDCF-F239-4A09-8736-A9A5F9EFF25D}	Torsdag	10:40	90	HISHIS02b	HIS	SiegAn	HIS02:23C	208			35-42, 45-49, 51, 3-8, 10-14, 16-17, 21-24
57	{5D9D3639-ECC4-4841-90A9-A0191A9ED7D2}	Onsdag	10:10	90	ENGENG06	ENG	KarlHe	ENG06:24C	215			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
327	{EF7680AC-A5C3-41A5-A45C-5F81C40930F9}	Onsdag	10:10	90	HISHIS02b	HIS	SiegAn	HIS02:23B	208			35-41, 43, 45-49, 51, 3-8, 10-14, 16-18, 20-24
348	{19D5A378-3D3A-490A-B03A-275C8446FD39}	Onsdag	12:50	120		MEDIA ÅK 2	EngsSa,FredJe	GRA01:24F,MEP02:24F	204			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
7	{A11FF2B9-9B4D-4707-AB40-63BE3AAE7668}	Onsdag	15:00	120	FOTFOT02	FOT	EngsSa	FOT02:IV	204			35-41, 43, 45-49, 51, 3-8, 10-14, 16-24
335	{8C9FEF8F-8518-4CB4-BDA8-E2CD5956E0E5}	Måndag	10:10	90	KOSKOS0	KOS	FredJe	KOS0:23B	210	Vt		3-8, 10-14, 16-18, 20-24
121	{D8EDBAB6-3A74-44E4-8743-4A6A6BF739E6}	Måndag	10:10	90	RELREL01	REL	KarlHe	REL01:23B	210	Ht		35-43, 45, 47-51
115	{35C3ABF6-B4E0-450D-A810-E456EFFA6756}	Måndag	9:50	120	HISHIS02b	HIS	SiegAn	HIS02:23F	208			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20-24
8	{AE922980-FACD-4758-94B5-35A83DE2F618}	Måndag	13:10	90	KOSKOS0	KOS	FredJe	KOS0:23F	204	Vt		3-8, 10-14, 16-18, 20-24
216	{B33CCC9E-F2A1-4B82-9718-A264E2E2579F}	Måndag	13:10	90	RELREL01	REL	KarlHe	REL01:23F	204	Ht		35-43, 45, 47-51
262	{D7E4DA61-BFB3-4680-B200-001FE8844D59}	Måndag	12:40	90	HISHIS02b	HIS	SiegAn	HIS02:23B	208			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20-24
134	{206AC0D3-2AE6-4B08-996C-50E313AF7DE2}	Måndag	14:20	90	HISHIS02b	HIS	SiegAn	HIS02:23A	208			35-43, 45, 47-51, 3-8, 10-14, 16-18, 20-24
291	{B9EF7A82-4D32-4390-94C7-863E1116F8E2}	Måndag	11:20	75	MATMAT02b	MAT	AmanPe	MAT02:IV_1	202			35-43, 45, 47-51, 3-8, 10-13, 16-24
39	{5CABDBE4-C2CE-4052-8682-BFECE42FBB3E}	Onsdag	15:00	75	MATMAT03b	MAT	AmanPe	MAT03:IV	037			35-41, 43, 45-49, 51, 3-8, 10-14, 16-18, 20-24
180	{B6DC9AD6-F878-49C4-A787-596E73318ECB}	Fredag	8:30	90	RELREL01	REL	TägtAm	REL01:23D	203	Ht		35-36, 38-42, 45-49
174	{8FDCDC50-3732-40CD-901C-32D325A5A7B2}	Fredag	8:30	90	KOSKOS0	KOS	AateEl	KOS0:23D	203	Vt		2-8, 10-13, 16-17, 21-24
23	{D312D0DB-CEE7-4B76-9126-567A66B76CB6}	Onsdag	8:30	90	GYARES	GYAR	AndeMi	GYAR:23F	224			35-41, 43, 45-49, 51, 3-8, 10-14, 16-18, 20-24
34	{1B9C8689-D847-40C1-B08E-86D7DDE60281}	Fredag	8:30	90	GYARES	GYAR	AndeMi	GYAR:23A	224			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
192	{AA59DF76-8CD8-4DE2-9FF1-20ECF02DD96C}	Fredag	12:40	90	NATU1B00X	NAK	AndeMi	NAK01:25A	224			35-36, 38-42, 45-49, 2-8, 10-13, 16-17, 21-24
917	{F733B7B4-13D7-447E-8AD4-E27AC2AC0FE4}	Onsdag	10:10	90	ENGENG06	ENG	AhmeLa	ENG06:24G	224			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
89	{C735570C-0F09-46B7-BB44-165D76109299}	Onsdag	10:10	90	HISHIS01b	HIS	VideRo	HIS01:24F	216			35-41, 43, 45-49, 51, 4-8, 10-13, 16-24
928	{5AABE818-8560-4019-A24F-6FD8FCBB9BDC}	Fredag	15:00	90	ENGENG06	ENG	KarlHe	ENG06:24C	215			35-36, 38-42, 45-49, 2-8, 10-12, 16-17, 21-24
66	{E43B8036-18EB-4E93-8C50-57B0568F50A6}	Tisdag	8:30	75	MODSPA03	MOD	RehnLi	SPA03:IV	215			35-43, 45, 47-51, 3-8, 10-13, 16, 18-24
86	{60B41281-4379-4719-BC51-453C3250E1F1}	Onsdag	8:30	90	GYARES	GYAR	SparAm	GYAR:23C	203			35-41, 43, 45-49, 51, 3-8, 10-14, 16-18, 20-24
243	{8721EB7E-D495-4790-8222-054B3D606F01}	Måndag	8:30	90	SVESVE02	SVE	HäggCa	SVE02:24B	231			35-43, 45, 47-51, 3-8, 10-13, 16-24
25	{6794E256-5E35-4078-9046-F802231B611B}	Måndag	10:10	75	IDRIDR01	IDR	KonTii	IDR01:24G	215			35-43, 45, 47-51, 3-8, 10-13, 16-24
590	{54CBF76A-579E-490F-A9E0-A7B29D041493}	Onsdag	8:30	90	GYARES	GYAR	TägtAm	GYAR:23D	204			35-41, 43, 45-49, 51, 3-8, 10-14, 16-18, 20-24
343	{4829B8B8-E4F3-4292-86ED-AF682CC475CA}	Tisdag	14:20	30		Mentorstid	EngsSa,AhmeLa,StröJo	KLASS:25F	216			35-43, 45, 47-51, 3-8, 10-14, 16-24
803	{26DD32F1-5D12-415D-BA72-78CAB0341478}	Torsdag	16:00	240		MUSSKOL			114			34-43, 45-51, 3-8, 10-14, 16-19, 21-24
938	{CB8935D0-A5AD-4A22-956C-F8B10C63FD4C}	Onsdag	8:30	90	MATE1B00X	MAT	HagmMa,BergSo	MAT01:25E	036			35-41, 43, 45-49, 51, 3-8, 10-14, 16-24
974	{09D029A2-D1B0-4423-AFA8-967A4EC54A48}	Onsdag	8:30	90		MAT01_Resurs	HagmMa,BergSo	RESURS_MAT01_BergSo	035			34-43, 45-51, 3-8, 10-14, 16-24
